Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs
digits,3,3,2,1,M,104.124645
digits,3,3,2,2,M,106.482486
digits,3,3,2,3,M,109.341181
digits,3,3,2,1,H,113.587808
digits,3,3,2,2,H,110.352569
digits,3,3,2,3,H,111.837165
digits,3,3,2,1,R,105.100659
digits,3,3,2,2,R,110.729998
digits,3,3,2,3,R,111.756135
digits,3,3,3,1,I,118.553386
digits,3,3,3,2,I,118.521545
digits,3,3,3,3,I,117.361526
digits,3,3,3,1,Q,110.533036
digits,3,3,3,2,Q,106.312978
digits,3,3,3,3,Q,105.941697
digits,3,3,3,1,M,107.569208
digits,3,3,3,2,M,111.146573
digits,3,3,3,3,M,108.728377
digits,3,3,3,1,H,113.100658
digits,3,3,3,2,H,111.167264
digits,3,3,3,3,H,108.047325
digits,3,3,3,1,R,109.914767
digits,3,3,3,2,R,109.628896
digits,3,3,3,3,R,107.060192
digits,3,3,4,1,I,117.628071
digits,3,3,4,2,I,119.460946
digits,3,3,4,3,I,119.959141
digits,3,3,4,1,Q,109.152831
digits,3,3,4,2,Q,105.593487
digits,3,3,4,3,Q,108.706308
digits,3,3,4,1,M,108.044188
digits,3,3,4,2,M,110.637857
digits,3,3,4,3,M,107.103907
digits,3,3,4,1,H,108.660474
digits,3,3,4,2,H,109.182705
digits,3,3,4,3,H,106.88584
digits,3,3,4,1,R,106.977179
digits,3,3,4,2,R,107.780619
digits,3,3,4,3,R,107.237385
digits,3,3,5,1,I,123.627299
digits,3,3,5,2,I,123.807709
digits,3,3,5,3,I,116.682288
digits,3,3,5,1,Q,113.635398
digits,3,3,5,2,Q,120.738601
digits,3,3,5,3,Q,120.629551
digits,3,3,5,1,M,110.411482
digits,3,3,5,2,M,116.550929
digits,3,3,5,3,M,108.713849
digits,3,3,5,1,H,115.042997
digits,3,3,5,2,H,114.626039
digits,3,3,5,3,H,110.35026
digits,3,3,5,1,R,107.707085
digits,3,3,5,2,R,111.631636
digits,3,3,5,3,R,106.808019
digits,3,3,6,1,I,117.499598
digits,3,3,6,2,I,120.49296
digits,3,3,6,3,I,118.939386
digits,3,3,6,1,Q,111.582698
digits,3,3,6,2,Q,105.745636
digits,3,3,6,3,Q,108.568599
digits,3,3,6,1,M,124.906544
digits,3,3,6,2,M,110.983407
digits,3,3,6,3,M,112.387856
digits,3,3,6,1,H,105.894128
digits,3,3,6,2,H,107.088358
digits,3,3,6,3,H,112.883103
digits,3,3,6,1,R,111.446458
digits,3,3,6,2,R,98.353893
digits,3,3,6,3,R,111.427706
digits,3,3,7,1,I,116.936732
digits,3,3,7,2,I,118.0057
digits,3,3,7,3,I,115.144426
digits,3,3,7,1,Q,108.281214
digits,3,3,7,2,Q,109.856074
digits,3,3,7,3,Q,112.749693
