Scenario,Parameter,Algorithm,Samples,MeanMs,StdMs,HalfWidthMs,PowerSatisfied,ActualParameterMean
duplicates,0.75,Q,8,116.184576,4.745453,3.288371,True,0.75
duplicates,0.75,M,8,116.274195,5.714119,3.95961,True,0.75
duplicates,0.75,H,8,115.507955,3.849031,2.667193,True,0.75
duplicates,0.75,R,8,116.74935,7.59411,5.262353,True,0.75
duplicates,0.76,I,8,123.473236,1.635508,1.133329,True,0.76
duplicates,0.76,Q,8,115.338726,3.27429,2.268925,True,0.76
duplicates,0.76,M,8,117.854257,3.22221,2.232836,True,0.76
duplicates,0.76,H,8,115.58557,2.884628,1.998909,True,0.76
duplicates,0.76,R,8,115.575596,3.161002,2.190422,True,0.76
duplicates,0.77,I,8,121.337081,2.30244,1.59548,True,0.77
duplicates,0.77,Q,8,112.633343,2.855534,1.978748,True,0.77
duplicates,0.77,M,8,114.352541,3.038882,2.105799,True,0.77
duplicates,0.77,H,8,113.181423,2.871649,1.989914,True,0.77
duplicates,0.77,R,8,112.359529,2.213728,1.534007,True,0.77
duplicates,0.78,I,8,123.75274,3.322033,2.302009,True,0.78
duplicates,0.78,Q,8,111.669999,1.691681,1.172254,True,0.78
duplicates,0.78,M,8,113.056047,4.17977,2.89638,True,0.78
duplicates,0.78,H,8,115.045036,5.556359,3.85029,True,0.78
duplicates,0.78,R,8,113.35804,3.041876,2.107874,True,0.78
duplicates,0.79,I,8,124.153034,8.391419,5.81485,True,0.79
duplicates,0.79,Q,8,112.068821,1.832012,1.269496,True,0.79
duplicates,0.79,M,8,112.964178,2.994594,2.07511,True,0.79
duplicates,0.79,H,8,112.361347,3.06892,2.126614,True,0.79
duplicates,0.79,R,8,113.39439,2.662684,1.845112,True,0.79
duplicates,0.8,I,8,123.260246,3.905749,2.706496,True,0.8
duplicates,0.8,Q,8,113.289493,3.539988,2.453042,True,0.8
duplicates,0.8,M,8,115.7943,5.30805,3.678224,True,0.8
duplicates,0.8,H,8,112.923034,3.037516,2.104852,True,0.8
duplicates,0.8,R,8,114.515399,4.478501,3.103386,True,0.8
duplicates,0.81,I,8,126.151739,2.443706,1.693371,True,0.81
duplicates,0.81,Q,8,116.50542,4.261045,2.952699,True,0.81
duplicates,0.81,M,8,114.694375,2.917903,2.021967,True,0.81
duplicates,0.81,H,8,115.297165,2.865137,1.985402,True,0.81
duplicates,0.81,R,8,113.772513,4.331371,3.001432,True,0.81
duplicates,0.82,I,8,122.687164,2.89642,2.00708,True,0.82
duplicates,0.82,Q,8,114.571904,2.235383,1.549013,True,0.82
duplicates,0.82,M,8,112.188852,2.528604,1.752201,True,0.82
duplicates,0.82,H,8,115.845067,3.896461,2.70006,True,0.82
duplicates,0.82,R,8,112.788478,2.551581,1.768123,True,0.82
duplicates,0.83,I,8,124.770451,2.630872,1.823068,True,0.83
duplicates,0.83,Q,8,115.54508,5.755763,3.988467,True,0.83
duplicates,0.83,M,8,116.81622,5.617663,3.89277,True,0.83
duplicates,0.83,H,8,114.683381,3.535779,2.450124,True,0.83
duplicates,0.83,R,8,113.678876,3.194962,2.213955,True,0.83
duplicates,0.84,I,8,122.340641,3.86827,2.680525,True,0.84
duplicates,0.84,Q,8,113.435505,2.949616,2.043942,True,0.84
duplicates,0.84,M,8,112.31569,4.189076,2.902829,True,0.84
duplicates,0.84,H,8,114.05042,3.639288,2.521851,True,0.84
duplicates,0.84,R,8,112.970832,2.244888,1.555599,True,0.84
duplicates,0.85,I,8,120.693341,1.274059,0.882862,True,0.85
duplicates,0.85,Q,8,112.635019,1.616221,1.119963,True,0.85
duplicates,0.85,M,8,112.611932,1.801745,1.248523,True,0.85
duplicates,0.85,H,8,112.865944,1.605643,1.112633,True,0.85
duplicates,0.85,R,8,112.448612,1.715878,1.189021,True,0.85
duplicates,0.86,I,8,121.77168,3.194899,2.213912,True,0.86
duplicates,0.86,Q,8,113.113157,1.983678,1.374593,True,0.86
duplicates,0.86,M,8,115.254312,6.367801,4.41258,True,0.86
duplicates,0.86,H,8,111.701571,3.125692,2.165954,True,0.86
duplicates,0.86,R,8,112.583812,5.632469,3.90303,True,0.86
duplicates,0.87,I,8,121.75478,3.769412,2.612021,True,0.87
duplicates,0.87,Q,8,111.08475,2.650225,1.836479,True,0.87
duplicates,0.87,M,8,112.461074,2.035122,1.410242,True,0.87
duplicates,0.87,H,8,112.18894,2.602998,1.803752,True,0.87
duplicates,0.87,R,8,113.464542,1.870524,1.296183,True,0.87
duplicates,0.88,I,8,124.721533,4.031813,2.793852,True,0.88
duplicates,0.88,Q,8,117.194874,5.970106,4.136996,True,0.88
duplicates,0.88,M,8,116.814994,5.031017,3.486253,True,0.88
duplicates,0.88,H,8,117.049577,7.004233,4.853597,True,0.88
duplicates,0.88,R,8,115.820072,3.165404,2.193473,True,0.88
duplicates,0.89,I,8,124.000688,2.349237,1.627909,True,0.89
duplicates,0.89,Q,8,115.440803,5.668488,3.92799,True,0.89
duplicates,0.89,M,8,113.73818,4.153819,2.878397,True,0.89
duplicates,0.89,H,8,115.312393,2.858651,1.980907,True,0.89
duplicates,0.89,R,8,117.364617,7.916711,5.4859,True,0.89
duplicates,0.9,I,40,129.37457,23.502963,7.28351,False,0.9
duplicates,0.9,Q,40,117.8896,5.943796,1.841968,True,0.9
duplicates,0.9,M,40,116.19971,5.638476,1.74735,True,0.9
duplicates,0.9,H,40,118.123278,11.411123,3.536279,True,0.9
duplicates,0.9,R,40,116.430596,5.930225,1.837762,True,0.9
duplicates,0.91,I,8,121.994766,3.436998,2.381674,True,0.91
duplicates,0.91,Q,8,113.753712,2.021849,1.401044,True,0.91
duplicates,0.91,M,8,115.937326,3.952131,2.738637,True,0.91
duplicates,0.91,H,8,113.14205,3.580841,2.481351,True,0.91
duplicates,0.91,R,8,112.456335,2.93714,2.035297,True,0.91
duplicates,0.92,I,8,128.875903,2.977735,2.063427,True,0.92
duplicates,0.92,Q,8,117.742172,5.378877,3.727303,True,0.92
duplicates,0.92,M,8,118.58164,5.212087,3.611726,True,0.92
duplicates,0.92,H,8,120.730168,4.456454,3.088108,True,0.92
duplicates,0.92,R,8,115.358184,3.937431,2.72845,True,0.92
duplicates,0.93,I,8,126.624545,3.544081,2.455878,True,0.93
duplicates,0.93,Q,8,118.430099,4.794315,3.32223,True,0.93
duplicates,0.93,M,8,116.120168,4.502213,3.119817,True,0.93
duplicates,0.93,H,8,114.968844,3.179549,2.203274,True,0.93
duplicates,0.93,R,8,114.750663,3.910619,2.709871,True,0.93
duplicates,0.94,I,8,123.73947,1.710986,1.185631,True,0.94
duplicates,0.94,Q,8,113.354002,2.971554,2.059144,True,0.94
duplicates,0.94,M,8,113.76543,3.8074,2.638345,True,0.94
